id;name;img;description
0;Flat white;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/flat-white-d8ada0f.jpg?quality=90&resize=440,400;If you have a coffee machine, make the best use of it with our easy flat white recipe. This trendy beverage has earned its spot at the breakfast table
1;Cappuccino;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cappucino-32dbfba.jpg?quality=90&resize=440,400;Make your favourite morning coffee from scratch – it's easy with the right equipment. We love a creamy cappuccino topped with a sprinkling of cocoa powder
2;Latte;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/latte-e2a66d3.jpg?quality=90&resize=440,400;Dust off that coffee machine and learn a few barista skills to make a creamy latte. Our easy recipe takes breakfast, or brunch, to the next level
3;Dalgona coffee;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/dalgona-coffee-ddfc357.jpg?quality=90&resize=440,400;Our easy whipped coffee recipe is simple enough to make at home. This frothy drink, known as dalgona coffee, might just be your new favourite caffeine kick
4;Iced caramel macchiato;https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Iced-Caramel-Macchiato-f4a10f9.jpg?quality=90&resize=556,505;Take your coffee game up a notch this summer with our iced caramel macchiato – it's made with espresso, milk, vanilla syrup and caramel sauce
5;Iced latte;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/iced-latte-30188f7.jpg?quality=90&resize=440,400;Cool off with a refreshing iced latte. This simple drink only needs a handful of ingredients and is perfect for a hot weather caffeine kick
6;Macchiato;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/macchiato-027-35b22b8.jpg?quality=90&resize=440,400;Put your coffee machine to work and brew an easy macchiato. Ideal for breakfast, brunch or whenever you need a pick-me-up
7;Mocha;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mocha-001-8301418.jpg?quality=90&resize=440,400;If you have a coffee machine, treat yourself to a comforting, chocolatey mocha. You don't need to be a trained barista with our easy recipe
8;Iced mocha;https://images.immediate.co.uk/production/volatile/sites/30/2021/05/Iced-Mocha-db3c51a.jpg?quality=90&resize=556,505;Combine the richness of chocolate milk with a hit of espresso and a whipped cream topping to make a moreish iced mocha – it's like a dessert in a glass
9;Coffee cake;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/coffee-cake-4d37cac.jpg?quality=90&resize=440,400;Whip up a classic coffee cake with ease. You can freeze the sponges if you want to save time later on. Ideal for a bake sale, birthday party or coffee morning
10;Café au lait;https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Cafe-au-lait-259a97b.png?quality=90&resize=556,505;For a French twist on your morning cup, try this recipe using equal parts coffee and milk. It’s typically made with dark roasted coffee
11;Coffee & walnut flapjacks;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/li-3216147gf_95_easybakes.p-422168a.jpg?quality=90&resize=440,400;Sticky and syrupy, these grown-up flapjacks will satisfy your cravings with a coffee and walnut twist that's sure to please
